"Date","Max.temperature","Min.temperature","Avg.temperature","Norm.temperature","Depart.temperature","DD.heat","DD.cool","Total.equiv.precipitation","Trace.precipitation","Snow.ice.precipitation","Trace.snow.ice.precipitation","Snow.ice.onground","Trace.snow.ice.onground","Avg.wind.speed","Fastest.wind.speed","Fastest.wind.direction","Total.sunshine.minutes","Percent.possible.sunshine.minutes","Sky.cover","weather.occur"
2017-05-01,52,32,42,30,12,23,0,1.39,FALSE,0,TRUE,0,FALSE,"40.6",86,"260(W)","15",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS"
2017-05-02,44,25,35,30,5,30,0,0.63,FALSE,0.5,FALSE,0,FALSE,"43",86,"270(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-03,27,19,23,31,-8,42,0,0.56,FALSE,2.4,FALSE,0,TRUE,"62.5",102,"280(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME, BLOWING SNOW"
2017-05-04,36,18,27,31,-4,38,0,0,TRUE,0,TRUE,1,FALSE,"22.3",76,"330(NW)","710",81,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2017-05-05,42,23,33,32,1,32,0,0.43,FALSE,0.3,FALSE,0,TRUE,"43",75,"170(S)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2017-05-06,46,33,40,32,8,25,0,0.87,FALSE,0,FALSE,0,TRUE,"49.3",90,"150(SE)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-07,35,27,31,32,-1,34,0,0.29,FALSE,0.4,FALSE,0,FALSE,"29.6",63,"170(S)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2017-05-08,29,14,22,33,-11,43,0,0.27,FALSE,3.1,FALSE,1,FALSE,"14.2",31,"270(W)","10",1,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-09,24,14,19,33,-14,46,0,0.05,FALSE,0.5,FALSE,2,FALSE,"9.2",31,"270(W)","90",10,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-10,25,19,22,34,-12,43,0,0.06,FALSE,0.5,FALSE,3,FALSE,"18.5",43,"290(W)","27",3,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
